user_id,content_id,durata,date,start_time,end_time
user_13110@domain.com,cont_3943_2_23,273600,26-09-2020,17:44:02,18:32:02
user_18909@domain.com,cont_1981_6_18,352800,03-12-2020,17:24:17,17:51:17
user_14564@domain.com,cont_2227_9_21,327600,07-06-2020,17:48:51,17:54:51
user_15761@domain.com,cont_3943_8_34,342000,02-10-2020,09:42:32,10:44:32
user_16705@domain.com,cont_1369_7_18,306000,24-07-2020,12:20:20,13:09:20
user_1214@domain.com,cont_2196_2_14,334800,21-02-2021,11:49:33,12:14:33
user_16037@domain.com,cont_1286_9_8,392400,30-06-2019,22:57:57,23:29:57
user_1705@domain.com,cont_1259_11_12,288000,02-05-2021,00:27:32,00:57:32
user_10076@domain.com,cont_1739_8_14,414000,09-07-2020,13:47:49,13:59:49
user_13923@domain.com,cont_4375_2_32,363600,18-07-2020,01:13:54,01:56:54
user_16705@domain.com,cont_127_8_15,345600,21-09-2020,07:46:56,08:19:56
user_14011@domain.com,cont_3710_1_14,399600,27-04-2021,14:25:26,16:22:26
user_10853@domain.com,cont_4688_1_8,223200,02-01-2020,15:51:38,16:14:38
user_1214@domain.com,cont_4813_1_34,360000,14-08-2020,17:58:11,18:05:11
user_151@domain.com,cont_2417_12_29,378000,31-07-2019,16:00:56,16:30:56
user_12888@domain.com,cont_4656_11_10,356400,01-01-2020,05:16:26,05:29:26
user_15761@domain.com,cont_2707_7_21,406800,31-07-2018,15:19:34,15:26:34
user_1228@domain.com,cont_3552_4_42,396000,29-05-2020,21:04:15,21:30:15
user_18740@domain.com,cont_2598_6_22,432000,02-05-2021,00:02:06,00:57:06
user_18181@domain.com,cont_3696_6_9,338400,07-03-2021,16:29:01,16:44:01
user_10735@domain.com,cont_3792_15_40,342000,03-11-2021,18:13:51,19:07:51
user_18085@domain.com,cont_1466_2_10,360000,05-06-2020,16:55:26,17:06:26
user_17210@domain.com,cont_1334_3_33,360000,28-10-2017,13:39:26,14:13:26
user_10167@domain.com,cont_4374_2_20,367200,12-10-2021,14:08:58,15:06:58
user_18370@domain.com,cont_2401_1_16,352800,27-03-2021,02:58:38,04:15:38
user_10076@domain.com,cont_1873_14_11,360000,14-11-2020,23:08:47,23:51:47
user_10821@domain.com,cont_3222_1_9,338400,30-11-2020,23:20:57,23:48:57
